"filename", "language", "Java Properties", "Java", "comment", "blank", "total"
"c:\Users\nerea\Escritorio\SpringBoot\cuprodemy\src\main\java\net\ausiasmarch\cuprodemy\repository\LeccionRepository.java", "Java", 0, 12, 0, 8, 20
"c:\Users\nerea\Escritorio\SpringBoot\cuprodemy\src\main\java\net\ausiasmarch\cuprodemy\repository\TipocomentarioRepository.java", "Java", 0, 10, 0, 7, 17
"c:\Users\nerea\Escritorio\SpringBoot\cuprodemy\src\main\java\net\ausiasmarch\cuprodemy\repository\UserRepository.java", "Java", 0, 16, 0, 15, 31
"c:\Users\nerea\Escritorio\SpringBoot\cuprodemy\src\main\java\net\ausiasmarch\cuprodemy\repository\UsertypeRepository.java", "Java", 0, 10, 0, 5, 15
"c:\Users\nerea\Escritorio\SpringBoot\cuprodemy\src\main\java\net\ausiasmarch\cuprodemy\repository\UsuarioCursoRepository.java", "Java", 0, 12, 0, 10, 22
"c:\Users\nerea\Escritorio\SpringBoot\cuprodemy\src\main\java\net\ausiasmarch\cuprodemy\service\AuthService.java", "Java", 0, 121, 0, 26, 147
"c:\Users\nerea\Escritorio\SpringBoot\cuprodemy\src\main\java\net\ausiasmarch\cuprodemy\service\ComentarioService.java", "Java", 0, 145, 2, 42, 189
"c:\Users\nerea\Escritorio\SpringBoot\cuprodemy\src\main\java\net\ausiasmarch\cuprodemy\service\CursoService.java", "Java", 0, 76, 2, 29, 107
"c:\Users\nerea\Escritorio\SpringBoot\cuprodemy\src\main\java\net\ausiasmarch\cuprodemy\service\LeccionService.java", "Java", 0, 79, 26, 26, 131
"c:\Users\nerea\Escritorio\SpringBoot\cuprodemy\src\main\java\net\ausiasmarch\cuprodemy\service\TipocomentarioService.java", "Java", 0, 72, 0, 19, 91
"c:\Users\nerea\Escritorio\SpringBoot\cuprodemy\src\main\java\net\ausiasmarch\cuprodemy\service\UserService.java", "Java", 0, 189, 0, 34, 223
"c:\Users\nerea\Escritorio\SpringBoot\cuprodemy\src\main\java\net\ausiasmarch\cuprodemy\service\UsertypeService.java", "Java", 0, 75, 0, 18, 93
"c:\Users\nerea\Escritorio\SpringBoot\cuprodemy\src\main\java\net\ausiasmarch\cuprodemy\service\UsuarioCursoService.java", "Java", 0, 72, 22, 19, 113
"c:\Users\nerea\Escritorio\SpringBoot\cuprodemy\src\main\resources\application.properties", "Java Properties", 17, 0, 4, 6, 27
"c:\Users\nerea\Escritorio\SpringBoot\cuprodemy\src\test\java\net\ausiasmarch\cuprodemy\CuprodemyApplicationTests.java", "Java", 0, 9, 0, 5, 14
"Total", "-", 17, 2303, 65, 786, 3171
